index,sim,mass,tem_supply,tem_surf,tem_win,n_occ,x,y,V
333,333,0.0578,35,12.78,-1.11,1,2.05,4.75,0.087807676
334,334,0.0578,35,12.78,4.44,1,2.05,4.75,0.082793408
335,335,0.0578,35,12.78,10,1,2.05,4.75,0.077224701
336,336,0.1734,26.67,4.44,-1.11,1,2.05,4.75,0.262627048
337,337,0.1734,26.67,7.22,-1.11,1,2.05,4.75,0.259703491
338,338,0.1734,26.67,7.22,4.44,1,2.05,4.75,0.268827357
339,339,0.1734,26.67,10,-1.11,1,2.05,4.75,0.236165249
340,340,0.1734,26.67,10,4.44,1,2.05,4.75,0.250561587
341,341,0.1734,26.67,12.78,-1.11,1,2.05,4.75,0.250622671
342,342,0.1734,26.67,12.78,4.44,1,2.05,4.75,0.259822324
343,343,0.1734,26.67,12.78,10,1,2.05,4.75,0.253366041
344,344,0.1734,29.44,4.44,-1.11,1,2.05,4.75,0.207089693
345,345,0.1734,29.44,7.22,-1.11,1,2.05,4.75,0.21983606
346,346,0.1734,29.44,7.22,4.44,1,2.05,4.75,0.225476962
347,347,0.1734,29.44,10,-1.11,1,2.05,4.75,0.248574819
348,348,0.1734,29.44,10,4.44,1,2.05,4.75,0.277347632
349,349,0.1734,29.44,12.78,-1.11,1,2.05,4.75,0.207172445
350,350,0.1734,29.44,12.78,4.44,1,2.05,4.75,0.244002304
351,351,0.1734,29.44,12.78,10,1,2.05,4.75,0.241182719
352,352,0.1734,35,4.44,-1.11,1,2.05,4.75,0.192461678
353,353,0.1734,35,7.22,-1.11,1,2.05,4.75,0.196484512
354,354,0.1734,35,7.22,4.44,1,2.05,4.75,0.246270455
355,355,0.1734,35,10,-1.11,1,2.05,4.75,0.20465224
356,356,0.1734,35,10,4.44,1,2.05,4.75,0.257078808
