index,sim,saf,sat,ewt,ist,wit,n_occ,x,y,T
213,71,0.505868619,8.61,28.06,28.06,28.192,3,20.7675,3.425,24.48559046
214,72,0.505868619,8.61,28.06,28.06,29.581,3,9.23,1.575,24.94066051
215,72,0.505868619,8.61,28.06,28.06,29.581,3,6.9225,3.425,24.76109705
216,72,0.505868619,8.61,28.06,28.06,29.581,3,20.7675,3.425,24.69539655
217,73,0.505868619,12.78,23.89,23.89,28.754,3,9.23,1.575,23.03403236
218,73,0.505868619,12.78,23.89,23.89,28.754,3,6.9225,3.425,23.01083058
219,73,0.505868619,12.78,23.89,23.89,28.754,3,20.7675,3.425,22.70816745
220,74,0.505868619,12.78,23.89,23.89,30.282,3,9.23,1.575,23.10837278
221,74,0.505868619,12.78,23.89,23.89,30.282,3,6.9225,3.425,22.93104856
222,74,0.505868619,12.78,23.89,23.89,30.282,3,20.7675,3.425,23.10248577
223,75,0.505868619,12.78,23.89,23.89,31.671,3,9.23,1.575,23.14216813
224,75,0.505868619,12.78,23.89,23.89,31.671,3,6.9225,3.425,22.98527246
225,75,0.505868619,12.78,23.89,23.89,31.671,3,20.7675,3.425,22.9707264
226,76,0.505868619,12.78,25.97,25.97,28.754,3,9.23,1.575,24.40260416
227,76,0.505868619,12.78,25.97,25.97,28.754,3,6.9225,3.425,24.5304906
228,76,0.505868619,12.78,25.97,25.97,28.754,3,20.7675,3.425,24.53781995
229,77,0.505868619,12.78,25.97,25.97,30.282,3,9.23,1.575,24.55157062
230,77,0.505868619,12.78,25.97,25.97,30.282,3,6.9225,3.425,24.73782541
231,77,0.505868619,12.78,25.97,25.97,30.282,3,20.7675,3.425,24.33539651
232,78,0.505868619,12.78,25.97,25.97,31.671,3,9.23,1.575,24.54673969
233,78,0.505868619,12.78,25.97,25.97,31.671,3,6.9225,3.425,24.81557365
234,78,0.505868619,12.78,25.97,25.97,31.671,3,20.7675,3.425,24.22391231
235,79,0.505868619,12.78,28.06,28.06,28.754,3,9.23,1.575,25.80804747
236,79,0.505868619,12.78,28.06,28.06,28.754,3,6.9225,3.425,25.71004322
237,79,0.505868619,12.78,28.06,28.06,28.754,3,20.7675,3.425,25.60792081
238,80,0.505868619,12.78,28.06,28.06,30.282,3,9.23,1.575,25.83090916
239,80,0.505868619,12.78,28.06,28.06,30.282,3,6.9225,3.425,25.79787155
240,80,0.505868619,12.78,28.06,28.06,30.282,3,20.7675,3.425,25.53252598
241,81,0.505868619,12.78,28.06,28.06,31.671,3,9.23,1.575,25.88588655
242,81,0.505868619,12.78,28.06,28.06,31.671,3,6.9225,3.425,25.9497108
243,81,0.505868619,12.78,28.06,28.06,31.671,3,20.7675,3.425,25.7579338
244,82,0.60993302,4.44,23.89,23.89,24.584,3,9.23,1.575,20.67947462
245,82,0.60993302,4.44,23.89,23.89,24.584,3,6.9225,3.425,20.8649511
246,82,0.60993302,4.44,23.89,23.89,24.584,3,20.7675,3.425,20.33145458
247,83,0.60993302,4.44,23.89,23.89,26.112,3,9.23,1.575,20.77106691
248,83,0.60993302,4.44,23.89,23.89,26.112,3,6.9225,3.425,20.95984141
249,83,0.60993302,4.44,23.89,23.89,26.112,3,20.7675,3.425,20.20373935
250,84,0.60993302,4.44,23.89,23.89,27.501,3,9.23,1.575,20.86036649
251,84,0.60993302,4.44,23.89,23.89,27.501,3,6.9225,3.425,20.88108594
252,84,0.60993302,4.44,23.89,23.89,27.501,3,20.7675,3.425,20.40057341
253,85,0.60993302,4.44,25.97,25.97,24.584,3,9.23,1.575,22.20298264
254,85,0.60993302,4.44,25.97,25.97,24.584,3,6.9225,3.425,22.21489564
255,85,0.60993302,4.44,25.97,25.97,24.584,3,20.7675,3.425,21.75070685
256,86,0.60993302,4.44,25.97,25.97,26.112,3,9.23,1.575,22.16024544
257,86,0.60993302,4.44,25.97,25.97,26.112,3,6.9225,3.425,22.12431253
258,86,0.60993302,4.44,25.97,25.97,26.112,3,20.7675,3.425,22.01332819
259,87,0.60993302,4.44,25.97,25.97,27.501,3,9.23,1.575,22.3573531
260,87,0.60993302,4.44,25.97,25.97,27.501,3,6.9225,3.425,22.23948089
261,87,0.60993302,4.44,25.97,25.97,27.501,3,20.7675,3.425,21.93866754
262,88,0.60993302,4.44,28.06,28.06,24.584,3,9.23,1.575,23.51933848
263,88,0.60993302,4.44,28.06,28.06,24.584,3,6.9225,3.425,23.49481051
264,88,0.60993302,4.44,28.06,28.06,24.584,3,20.7675,3.425,23.33849872
265,89,0.60993302,4.44,28.06,28.06,26.112,3,9.23,1.575,23.71061289
266,89,0.60993302,4.44,28.06,28.06,26.112,3,6.9225,3.425,23.76343786
267,89,0.60993302,4.44,28.06,28.06,26.112,3,20.7675,3.425,23.29476892
268,90,0.60993302,4.44,28.06,28.06,27.501,3,9.23,1.575,23.73377398
269,90,0.60993302,4.44,28.06,28.06,27.501,3,6.9225,3.425,23.52897472
270,90,0.60993302,4.44,28.06,28.06,27.501,3,20.7675,3.425,23.08367528
271,91,0.60993302,8.61,23.89,23.89,26.664,3,9.23,1.575,21.81682717
272,91,0.60993302,8.61,23.89,23.89,26.664,3,6.9225,3.425,21.79266001
273,91,0.60993302,8.61,23.89,23.89,26.664,3,20.7675,3.425,21.60330067
274,92,0.60993302,8.61,23.89,23.89,28.192,3,9.23,1.575,21.86036513
275,92,0.60993302,8.61,23.89,23.89,28.192,3,6.9225,3.425,21.97450532
276,92,0.60993302,8.61,23.89,23.89,28.192,3,20.7675,3.425,21.52482068
277,93,0.60993302,8.61,23.89,23.89,29.581,3,9.23,1.575,21.9732321
278,93,0.60993302,8.61,23.89,23.89,29.581,3,6.9225,3.425,21.95976205
279,93,0.60993302,8.61,23.89,23.89,29.581,3,20.7675,3.425,21.70840537
280,94,0.60993302,8.61,25.97,25.97,26.664,3,9.23,1.575,23.25060108
281,94,0.60993302,8.61,25.97,25.97,26.664,3,6.9225,3.425,23.57316829
282,94,0.60993302,8.61,25.97,25.97,26.664,3,20.7675,3.425,22.76843085
283,95,0.60993302,8.61,25.97,25.97,28.192,3,9.23,1.575,23.22256043
284,95,0.60993302,8.61,25.97,25.97,28.192,3,6.9225,3.425,23.42122429
285,95,0.60993302,8.61,25.97,25.97,28.192,3,20.7675,3.425,23.31725788
286,96,0.60993302,8.61,25.97,25.97,29.581,3,9.23,1.575,23.39323172
287,96,0.60993302,8.61,25.97,25.97,29.581,3,6.9225,3.425,23.38280875
288,96,0.60993302,8.61,25.97,25.97,29.581,3,20.7675,3.425,23.00603891
289,97,0.60993302,8.61,28.06,28.06,26.664,3,9.23,1.575,24.64828752
290,97,0.60993302,8.61,28.06,28.06,26.664,3,6.9225,3.425,25.00247254
291,97,0.60993302,8.61,28.06,28.06,26.664,3,20.7675,3.425,24.41635633
292,98,0.60993302,8.61,28.06,28.06,28.192,3,9.23,1.575,24.7135253
293,98,0.60993302,8.61,28.06,28.06,28.192,3,6.9225,3.425,24.74547372
294,98,0.60993302,8.61,28.06,28.06,28.192,3,20.7675,3.425,24.3764056
295,99,0.60993302,8.61,28.06,28.06,29.581,3,9.23,1.575,24.74943998
296,99,0.60993302,8.61,28.06,28.06,29.581,3,6.9225,3.425,24.85403776
297,99,0.60993302,8.61,28.06,28.06,29.581,3,20.7675,3.425,24.52275166
298,100,0.60993302,12.78,23.89,23.89,28.754,3,9.23,1.575,22.73853505
299,100,0.60993302,12.78,23.89,23.89,28.754,3,6.9225,3.425,22.8431443
300,100,0.60993302,12.78,23.89,23.89,28.754,3,20.7675,3.425,22.58848915
301,101,0.60993302,12.78,23.89,23.89,30.282,3,9.23,1.575,22.73732407
302,101,0.60993302,12.78,23.89,23.89,30.282,3,6.9225,3.425,22.83848602
303,101,0.60993302,12.78,23.89,23.89,30.282,3,20.7675,3.425,22.49661385
304,102,0.60993302,12.78,23.89,23.89,31.671,3,9.23,1.575,22.83689808
305,102,0.60993302,12.78,23.89,23.89,31.671,3,6.9225,3.425,22.86419679
306,102,0.60993302,12.78,23.89,23.89,31.671,3,20.7675,3.425,22.69021963
307,103,0.60993302,12.78,25.97,25.97,28.754,3,9.23,1.575,24.27402491
308,103,0.60993302,12.78,25.97,25.97,28.754,3,6.9225,3.425,24.38492833
309,103,0.60993302,12.78,25.97,25.97,28.754,3,20.7675,3.425,23.88852965
310,104,0.60993302,12.78,25.97,25.97,30.282,3,9.23,1.575,24.32211925
311,104,0.60993302,12.78,25.97,25.97,30.282,3,6.9225,3.425,24.39550272
312,104,0.60993302,12.78,25.97,25.97,30.282,3,20.7675,3.425,24.11900434
313,105,0.60993302,12.78,25.97,25.97,31.671,3,9.23,1.575,24.39038262
314,105,0.60993302,12.78,25.97,25.97,31.671,3,6.9225,3.425,24.36178186
315,105,0.60993302,12.78,25.97,25.97,31.671,3,20.7675,3.425,24.02472145
316,106,0.60993302,12.78,28.06,28.06,28.754,3,9.23,1.575,25.66415906
317,106,0.60993302,12.78,28.06,28.06,28.754,3,6.9225,3.425,25.73131536
318,106,0.60993302,12.78,28.06,28.06,28.754,3,20.7675,3.425,25.49546854
319,107,0.60993302,12.78,28.06,28.06,30.282,3,9.23,1.575,25.71775187
320,107,0.60993302,12.78,28.06,28.06,30.282,3,6.9225,3.425,25.7929429
321,107,0.60993302,12.78,28.06,28.06,30.282,3,20.7675,3.425,25.52475243
322,108,0.60993302,12.78,28.06,28.06,31.671,3,9.23,1.575,25.71946919
323,108,0.60993302,12.78,28.06,28.06,31.671,3,6.9225,3.425,25.85895964
324,108,0.60993302,12.78,28.06,28.06,31.671,3,20.7675,3.425,25.38976032
325,109,0.393132184,23.89,14.17,14.587,13.337,3,9.23,1.575,17.46081109
