index,sim,saf,sat,ewt,ist,wit,n_occ,x,y,V
152,51,0.439383029,12.78,25.97,25.97,31.671,3,6.9225,3.425,0.148114269
153,51,0.439383029,12.78,25.97,25.97,31.671,3,20.7675,3.425,0.162385947
154,52,0.439383029,12.78,28.06,28.06,28.754,3,9.23,1.575,0.169170327
155,52,0.439383029,12.78,28.06,28.06,28.754,3,6.9225,3.425,0.135823927
156,52,0.439383029,12.78,28.06,28.06,28.754,3,20.7675,3.425,0.163389841
157,53,0.439383029,12.78,28.06,28.06,30.282,3,9.23,1.575,0.162755198
158,53,0.439383029,12.78,28.06,28.06,30.282,3,6.9225,3.425,0.139007547
159,53,0.439383029,12.78,28.06,28.06,30.282,3,20.7675,3.425,0.155587923
160,54,0.439383029,12.78,28.06,28.06,31.671,3,9.23,1.575,0.163592952
161,54,0.439383029,12.78,28.06,28.06,31.671,3,6.9225,3.425,0.136919495
162,54,0.439383029,12.78,28.06,28.06,31.671,3,20.7675,3.425,0.168173479
163,55,0.505868619,4.44,23.89,23.89,24.584,3,9.23,1.575,0.189073263
164,55,0.505868619,4.44,23.89,23.89,24.584,3,6.9225,3.425,0.165264203
165,55,0.505868619,4.44,23.89,23.89,24.584,3,20.7675,3.425,0.195261361
166,56,0.505868619,4.44,23.89,23.89,26.112,3,9.23,1.575,0.195175631
167,56,0.505868619,4.44,23.89,23.89,26.112,3,6.9225,3.425,0.150403512
168,56,0.505868619,4.44,23.89,23.89,26.112,3,20.7675,3.425,0.17717366
169,57,0.505868619,4.44,23.89,23.89,27.501,3,9.23,1.575,0.182898301
170,57,0.505868619,4.44,23.89,23.89,27.501,3,6.9225,3.425,0.165843845
171,57,0.505868619,4.44,23.89,23.89,27.501,3,20.7675,3.425,0.190793071
172,58,0.505868619,4.44,25.97,25.97,24.584,3,9.23,1.575,0.190230058
173,58,0.505868619,4.44,25.97,25.97,24.584,3,6.9225,3.425,0.150439357
174,58,0.505868619,4.44,25.97,25.97,24.584,3,20.7675,3.425,0.195086879
175,59,0.505868619,4.44,25.97,25.97,26.112,3,9.23,1.575,0.184120281
176,59,0.505868619,4.44,25.97,25.97,26.112,3,6.9225,3.425,0.16201466
177,59,0.505868619,4.44,25.97,25.97,26.112,3,20.7675,3.425,0.208577628
178,60,0.505868619,4.44,25.97,25.97,27.501,3,9.23,1.575,0.193831274
179,60,0.505868619,4.44,25.97,25.97,27.501,3,6.9225,3.425,0.150692274
180,60,0.505868619,4.44,25.97,25.97,27.501,3,20.7675,3.425,0.204449431
181,61,0.505868619,4.44,28.06,28.06,24.584,3,9.23,1.575,0.192462574
182,61,0.505868619,4.44,28.06,28.06,24.584,3,6.9225,3.425,0.155881561
183,61,0.505868619,4.44,28.06,28.06,24.584,3,20.7675,3.425,0.173095611
184,62,0.505868619,4.44,28.06,28.06,26.112,3,9.23,1.575,0.193600798
185,62,0.505868619,4.44,28.06,28.06,26.112,3,6.9225,3.425,0.170762156
