index,sim,saf,sat,ewt,ist,wit,n_occ,x,y,MRT,T,V
1607,415,0.60993302,8.61,23.89,23.89,26.664,7,6.9225,3.425,25.06700893,21.99621681,0.19027849300000002
1608,415,0.60993302,8.61,23.89,23.89,26.664,7,11.5375,3.425,25.01419009,20.96964886,0.149182419
1609,415,0.60993302,8.61,23.89,23.89,26.664,7,20.7675,3.425,25.01319659,21.50910702,0.210308222
1610,416,0.60993302,8.61,23.89,23.89,28.191999999999997,7,4.615,1.575,25.08248805,22.52041855,0.146105666
1611,416,0.60993302,8.61,23.89,23.89,28.191999999999997,7,13.845,1.575,24.92240558,21.29338828,0.154868264
1612,416,0.60993302,8.61,23.89,23.89,28.191999999999997,7,23.075,1.575,25.08909174,22.56419434,0.146324382
1613,416,0.60993302,8.61,23.89,23.89,28.191999999999997,7,24.875,1.575,25.22900781,21.90343057,0.139554455
1614,416,0.60993302,8.61,23.89,23.89,28.191999999999997,7,6.9225,3.425,25.07233551,21.35688577,0.193402066
1615,416,0.60993302,8.61,23.89,23.89,28.191999999999997,7,11.5375,3.425,25.05288504,21.03205622,0.14891498
1616,416,0.60993302,8.61,23.89,23.89,28.191999999999997,7,20.7675,3.425,25.04674136,21.47267314,0.224934734
1617,417,0.60993302,8.61,23.89,23.89,29.581,7,4.615,1.575,25.11131707,22.65059504,0.145650957
1618,417,0.60993302,8.61,23.89,23.89,29.581,7,13.845,1.575,24.93777492,21.34792299,0.158183508
1619,417,0.60993302,8.61,23.89,23.89,29.581,7,23.075,1.575,25.10713161,22.51993426,0.145756864
1620,417,0.60993302,8.61,23.89,23.89,29.581,7,24.875,1.575,25.29144598,21.93854874,0.137602698
1621,417,0.60993302,8.61,23.89,23.89,29.581,7,6.9225,3.425,25.13618286,21.78533118,0.194983811
1622,417,0.60993302,8.61,23.89,23.89,29.581,7,11.5375,3.425,25.06723084,21.11992111,0.173483915
1623,417,0.60993302,8.61,23.89,23.89,29.581,7,20.7675,3.425,25.0922191,21.55895803,0.21776082
1624,418,0.60993302,8.61,25.97,25.97,26.664,7,4.615,1.575,26.86573186,24.31475684,0.146564295
1625,418,0.60993302,8.61,25.97,25.97,26.664,7,13.845,1.575,26.66934607,22.98064063,0.178807623
1626,418,0.60993302,8.61,25.97,25.97,26.664,7,23.075,1.575,26.856004600000002,24.18933203,0.14780774800000002
1627,418,0.60993302,8.61,25.97,25.97,26.664,7,24.875,1.575,26.90596382,23.4172805,0.13904113
1628,418,0.60993302,8.61,25.97,25.97,26.664,7,6.9225,3.425,26.79528769,23.43457611,0.17991016199999998
1629,418,0.60993302,8.61,25.97,25.97,26.664,7,11.5375,3.425,26.7135429,22.34904232,0.145722141
1630,418,0.60993302,8.61,25.97,25.97,26.664,7,20.7675,3.425,26.74079944,22.96253588,0.204225501
1631,419,0.60993302,8.61,25.97,25.97,28.191999999999997,7,4.615,1.575,26.88335972,24.26231912,0.152136731
1632,419,0.60993302,8.61,25.97,25.97,28.191999999999997,7,13.845,1.575,26.69137645,22.72457215,0.17042000000000002
1633,419,0.60993302,8.61,25.97,25.97,28.191999999999997,7,23.075,1.575,26.86402237,24.15212541,0.142867036
1634,419,0.60993302,8.61,25.97,25.97,28.191999999999997,7,24.875,1.575,26.96728494,23.45269461,0.141018943
1635,419,0.60993302,8.61,25.97,25.97,28.191999999999997,7,6.9225,3.425,26.82342773,23.18272399,0.189134251
1636,419,0.60993302,8.61,25.97,25.97,28.191999999999997,7,11.5375,3.425,26.78213895,22.46727371,0.161129156
1637,419,0.60993302,8.61,25.97,25.97,28.191999999999997,7,20.7675,3.425,26.77376022,22.66782818,0.20635950100000003
