index,sim,mass,tem_supply,tem_surf,tem_win,n_occ,x,y,MRT,T,V
169,169,0.057813569,15.555555599999998,29.444444399999995,26.6666667,1,2.05,2.25,23.96609352,23.78959955,0.25262781100000004
170,170,0.17344070600000003,15.555555599999998,29.444444399999995,26.6666667,1,2.05,2.25,24.21801562,24.21713699,0.236358725
171,171,0.023125427999999996,10.0,32.2222222,26.6666667,1,2.05,2.25,24.667499,24.67657849,0.21491838600000002
172,172,0.057813569,10.0,32.2222222,26.6666667,1,2.05,2.25,24.13449095,22.95692696,0.250612153
173,173,0.17344070600000003,10.0,32.2222222,26.6666667,1,2.05,2.25,24.24854864,23.24655088,0.23165712800000002
174,174,0.023125427999999996,12.7777778,32.2222222,26.6666667,1,2.05,2.25,24.56693536,23.69597399,0.197141779
175,175,0.057813569,12.7777778,32.2222222,26.6666667,1,2.05,2.25,24.65790328,23.56129965,0.20800544899999998
176,176,0.17344070600000003,12.7777778,32.2222222,26.6666667,1,2.05,2.25,24.73294235,23.99750576,0.236937063
177,177,0.023125427999999996,15.555555599999998,32.2222222,26.6666667,1,2.05,2.25,24.79088744,23.87606859,0.249582602
178,178,0.057813569,15.555555599999998,32.2222222,26.6666667,1,2.05,2.25,25.05488343,24.30929183,0.21465798100000003
179,179,0.17344070600000003,15.555555599999998,32.2222222,26.6666667,1,2.05,2.25,25.62015201,24.73696573,0.230922088
180,180,0.0231,10.0,23.89,26.67,1,2.05,4.75,27.5546407,26.37055265,0.080670922
181,181,0.0231,10.0,23.89,30.56,1,2.05,4.75,27.6832885,26.51360441,0.073553494
182,182,0.0231,10.0,23.89,33.61,1,2.05,4.75,27.80328284,26.78142201,0.079701781
183,183,0.0231,10.0,23.89,36.39,1,2.05,4.75,27.916076699999998,27.02958361,0.09022156099999999
184,184,0.0231,10.0,26.67,30.56,1,2.05,4.75,27.8408235,26.70464796,0.09112028900000001
185,185,0.0231,10.0,26.67,33.61,1,2.05,4.75,27.96090365,26.99736397,0.09448199
186,186,0.0231,10.0,26.67,36.39,1,2.05,4.75,28.08530451,27.27685021,0.08333487
187,187,0.0231,10.0,29.44,30.56,1,2.05,4.75,28.00557553,26.94632849,0.100846786
188,188,0.0231,10.0,29.44,33.61,1,2.05,4.75,28.13610278,27.20924653,0.08724163
189,189,0.0231,10.0,29.44,36.39,1,2.05,4.75,28.24843008,27.46233899,0.08330172
190,190,0.0231,10.0,32.22,33.61,1,2.05,4.75,28.30907778,27.47884821,0.086675898
191,191,0.0231,10.0,32.22,36.39,1,2.05,4.75,28.42782472,27.83597349,0.080620791
192,192,0.0231,12.78,23.89,26.67,1,2.05,4.75,27.55557892,26.45334761,0.075260267
193,193,0.0231,12.78,23.89,30.56,1,2.05,4.75,27.69988118,26.71934609,0.069525539
194,194,0.0231,12.78,23.89,33.61,1,2.05,4.75,27.81325641,26.93999738,0.081047672
195,195,0.0231,12.78,23.89,36.39,1,2.05,4.75,27.92932627,27.20537842,0.083017
196,196,0.0231,12.78,26.67,30.56,1,2.05,4.75,27.85676193,26.92018883,0.08910167699999999
197,197,0.0231,12.78,26.67,33.61,1,2.05,4.75,27.98205803,27.21730946,0.07725662700000001
198,198,0.0231,12.78,26.67,36.39,1,2.05,4.75,28.09625056,27.47064997,0.083002772
199,199,0.0231,12.78,29.44,30.56,1,2.05,4.75,28.01775566,27.07023708,0.09380034699999999
200,200,0.0231,12.78,29.44,33.61,1,2.05,4.75,28.14841395,27.47840559,0.084310452
201,201,0.0231,12.78,29.44,36.39,1,2.05,4.75,28.264389899999998,27.72590185,0.081361618
202,202,0.0231,12.78,32.22,33.61,1,2.05,4.75,28.32497469,27.75825612,0.08291855
203,203,0.0231,12.78,32.22,36.39,1,2.05,4.75,28.44040834,28.02383024,0.082051043
204,204,0.0231,15.56,23.89,26.67,1,2.05,4.75,27.55613034,26.56073038,0.066772281
205,205,0.0231,15.56,23.89,30.56,1,2.05,4.75,27.71263481,26.86327583,0.069140693
206,206,0.0231,15.56,23.89,33.61,1,2.05,4.75,27.82666458,27.10904508,0.080970775
207,207,0.0231,15.56,23.89,36.39,1,2.05,4.75,27.94305223,27.41718528,0.07953539700000001
208,208,0.0231,15.56,26.67,30.56,1,2.05,4.75,27.87025296,27.08658037,0.085531589
209,209,0.0231,15.56,26.67,33.61,1,2.05,4.75,27.98852964,27.34203158,0.086565036
210,210,0.0231,15.56,26.67,36.39,1,2.05,4.75,28.10937371,27.666895899999997,0.077581334
211,211,0.0231,15.56,29.44,30.56,1,2.05,4.75,28.03127603,27.27292692,0.08926477699999999
212,212,0.0231,15.56,29.44,33.61,1,2.05,4.75,28.15450528,27.58362576,0.094406995
213,213,0.0231,15.56,29.44,36.39,1,2.05,4.75,28.27663816,27.90318757,0.079324132
214,214,0.0231,15.56,32.22,33.61,1,2.05,4.75,28.33415941,27.90479199,0.089132106
215,215,0.0231,15.56,32.22,36.39,1,2.05,4.75,28.45084307,28.19003061,0.08460543
216,216,0.0578,10.0,23.89,26.67,1,2.05,4.75,27.48480597,25.44013322,0.09289787199999999
217,217,0.0578,10.0,23.89,30.56,1,2.05,4.75,27.61146173,25.58261637,0.09626252800000001
218,218,0.0578,10.0,23.89,33.61,1,2.05,4.75,27.72859462,25.7801807,0.10522978300000001
219,219,0.0578,10.0,23.89,36.39,1,2.05,4.75,27.81804177,25.77572114,0.106999546
220,220,0.0578,10.0,26.67,30.56,1,2.05,4.75,27.77159246,25.79081844,0.11689176
221,221,0.0578,10.0,26.67,33.61,1,2.05,4.75,27.87423966,25.88421496,0.126913733
222,222,0.0578,10.0,26.67,36.39,1,2.05,4.75,27.98144311,25.96361963,0.109757028
223,223,0.0578,10.0,29.44,30.56,1,2.05,4.75,27.92090301,25.86114605,0.12761336199999998
224,224,0.0578,10.0,29.44,33.61,1,2.05,4.75,28.0358825,26.04586077,0.109600559
225,225,0.0578,10.0,29.44,36.39,1,2.05,4.75,28.14142011,26.23385937,0.106382004
226,226,0.0578,10.0,32.22,33.61,1,2.05,4.75,28.20503786,26.26912245,0.121230948
227,227,0.0578,10.0,32.22,36.39,1,2.05,4.75,28.31067723,26.43016563,0.127176689
228,228,0.0578,12.78,23.89,26.67,1,2.05,4.75,27.50872228,25.838468300000002,0.09133563800000001
229,229,0.0578,12.78,23.89,30.56,1,2.05,4.75,27.63220933,25.84931284,0.10171666300000001
230,230,0.0578,12.78,23.89,33.61,1,2.05,4.75,27.73776802,25.98272885,0.116570365
231,231,0.0578,12.78,23.89,36.39,1,2.05,4.75,27.84066533,26.11238906,0.109370463
232,232,0.0578,12.78,26.67,30.56,1,2.05,4.75,27.78487083,26.00724709,0.123304001
233,233,0.0578,12.78,26.67,33.61,1,2.05,4.75,27.89902106,26.17595325,0.122318861
234,234,0.0578,12.78,26.67,36.39,1,2.05,4.75,28.00146242,26.29550065,0.11467902599999999
235,235,0.0578,12.78,29.44,30.56,1,2.05,4.75,27.94978034,26.1713701,0.12420896199999999
236,236,0.0578,12.78,29.44,33.61,1,2.05,4.75,28.060875,26.35962103,0.10633648300000001
237,237,0.0578,12.78,29.44,36.39,1,2.05,4.75,28.16615967,26.53651044,0.119428015
238,238,0.0578,12.78,32.22,33.61,1,2.05,4.75,28.22646351,26.5835222,0.11907167800000001
239,239,0.0578,12.78,32.22,36.39,1,2.05,4.75,28.34309368,26.79438301,0.12131511800000001
240,240,0.0578,15.56,23.89,26.67,1,2.05,4.75,27.5303686,25.99930613,0.08453731699999999
241,241,0.0578,15.56,23.89,30.56,1,2.05,4.75,27.65908484,26.14566448,0.09796278900000001
242,242,0.0578,15.56,23.89,33.61,1,2.05,4.75,27.76503496,26.27447187,0.111639382
243,243,0.0578,15.56,23.89,36.39,1,2.05,4.75,27.87658187,26.49332769,0.100737825
244,244,0.0578,15.56,26.67,30.56,1,2.05,4.75,27.81231563,26.29752055,0.115722558
