index,sim,tem,mass,n,occ,x,y,MRT
334,111,16,22,23,3,10.185,3.8,24.82944021
335,111,16,22,23,3,13.175,5.8,24.85515995
336,112,22,7,27,3,7.185,5.8,28.02771053
337,112,22,7,27,3,10.185,3.8,28.02141964
338,112,22,7,27,3,13.175,5.8,28.04044247
339,113,19,28,20,3,7.185,5.8,22.15457747
340,113,19,28,20,3,10.185,3.8,22.27849437
341,113,19,28,20,3,13.175,5.8,22.31328241
342,114,19,31,25,3,7.185,5.8,26.56406875
343,114,19,31,25,3,10.185,3.8,26.67745123
344,114,19,31,25,3,13.175,5.8,26.7036541
345,115,16,3,22,3,7.185,5.8,23.68510035
346,115,16,3,22,3,10.185,3.8,23.68097631
347,115,16,3,22,3,13.175,5.8,23.71528746
348,116,18,17,26,3,7.185,5.8,27.29547005
349,116,18,17,26,3,10.185,3.8,27.36894242
350,116,18,17,26,3,13.175,5.8,27.39338098
351,117,22,29,20,3,7.185,5.8,22.16783939
352,117,22,29,20,3,10.185,3.8,22.30129597
353,117,22,29,20,3,13.175,5.8,22.34081057
354,118,16,1,26,3,7.185,5.8,27.17701752
355,118,16,1,26,3,10.185,3.8,27.08909756
356,118,16,1,26,3,13.175,5.8,27.07679999
357,119,16,26,26,3,7.185,5.8,27.39609182
358,119,16,26,26,3,10.185,3.8,27.49392235
359,119,16,26,26,3,13.175,5.8,27.51995031
360,120,27,8,26,3,7.185,5.8,27.14135778
361,120,27,8,26,3,10.185,3.8,27.13621606
362,120,27,8,26,3,13.175,5.8,27.15651475
363,121,18,15,25,3,7.185,5.8,26.39504892
364,121,18,15,25,3,10.185,3.8,26.46847822
365,121,18,15,25,3,13.175,5.8,26.49627082
366,122,23,3,21,3,7.185,5.8,22.71609022
367,122,23,3,21,3,10.185,3.8,22.73499388
368,122,23,3,21,3,13.175,5.8,22.76019367
369,123,17,8,24,3,7.185,5.8,25.47106108
370,123,17,8,24,3,10.185,3.8,25.49919794
371,123,17,8,24,3,13.175,5.8,25.52338414
372,124,17,15,25,3,7.185,5.8,26.40540608
373,124,17,15,25,3,10.185,3.8,26.48357951
374,124,17,15,25,3,13.175,5.8,26.50166708
375,125,16,8,20,3,7.185,5.8,21.94828654
376,125,16,8,20,3,10.185,3.8,22.03366245
377,125,16,8,20,3,13.175,5.8,22.06516373
378,126,11,6,21,3,7.185,5.8,22.85026274
379,126,11,6,21,3,10.185,3.8,22.92747992
380,126,11,6,21,3,13.175,5.8,22.96419034
381,127,19,3,23,3,7.185,5.8,24.54133939
382,127,19,3,23,3,10.185,3.8,24.5119254
383,127,19,3,23,3,13.175,5.8,24.54118915
384,128,17,16,24,3,7.185,5.8,25.52855208
385,128,17,16,24,3,10.185,3.8,25.62850479
386,128,17,16,24,3,13.175,5.8,25.63961692
387,129,17,23,23,3,7.185,5.8,24.73270675
388,129,17,23,23,3,10.185,3.8,24.83852925
389,129,17,23,23,3,13.175,5.8,24.8693741
390,130,16,3,24,3,7.185,5.8,25.44882791
391,130,16,3,24,3,10.185,3.8,25.42191151
392,130,16,3,24,3,13.175,5.8,25.43888859
393,131,19,24,25,3,7.185,5.8,26.49322578
394,131,19,24,25,3,10.185,3.8,26.59909414
395,131,19,24,25,3,13.175,5.8,26.62201506
396,132,15,2,27,3,7.185,5.8,28.07580807
397,132,15,2,27,3,10.185,3.8,28.00842682
398,132,15,2,27,3,13.175,5.8,27.92503601
399,133,18,16,24,3,7.185,5.8,25.52593555
400,133,18,16,24,3,10.185,3.8,25.61681939
401,133,18,16,24,3,13.175,5.8,25.63447133
402,134,15,13,23,3,7.185,5.8,24.63272603
403,134,15,13,23,3,10.185,3.8,24.72442095
404,134,15,13,23,3,13.175,5.8,24.7455676
405,135,11,9,28,3,7.185,5.8,29.05408127
406,135,11,9,28,3,10.185,3.8,29.05931823
407,135,11,9,28,3,13.175,5.8,29.04564045
408,136,23,9,28,3,7.185,5.8,28.94799502
409,136,23,9,28,3,10.185,3.8,28.91516125
410,136,23,9,28,3,13.175,5.8,28.95690552
411,137,21,30,20,3,7.185,5.8,22.17409976
412,137,21,30,20,3,10.185,3.8,22.30860195
413,137,21,30,20,3,13.175,5.8,22.34695993
414,138,20,2,28,3,7.185,5.8,28.89042133
415,138,20,2,28,3,10.185,3.8,28.77775601
416,138,20,2,28,3,13.175,5.8,28.68895062
417,139,14,5,27,3,7.185,5.8,28.12179707
418,139,14,5,27,3,10.185,3.8,28.09146163
419,139,14,5,27,3,13.175,5.8,28.06413433
420,140,12,14,27,3,7.185,5.8,28.18949088
421,140,12,14,27,3,10.185,3.8,28.22668065
422,140,12,14,27,3,13.175,5.8,28.22476232
423,141,20,25,25,3,7.185,5.8,26.50482967
424,141,20,25,25,3,10.185,3.8,26.6089365
425,141,20,25,25,3,13.175,5.8,26.64147286
426,142,20,2,21,3,7.185,5.8,22.74843048
427,142,20,2,21,3,10.185,3.8,22.76249798
428,142,20,2,21,3,13.175,5.8,22.79961299
429,144,19,26,27,3,7.185,5.8,28.27440728
430,144,19,26,27,3,10.185,3.8,28.37246396
431,144,19,26,27,3,13.175,5.8,28.3919641
432,145,22,27,25,3,7.185,5.8,26.52897885
433,145,22,27,25,3,10.185,3.8,26.63531315
434,145,22,27,25,3,13.175,5.8,26.66564947
435,146,17,7,22,3,7.185,5.8,23.69729967
436,146,17,7,22,3,10.185,3.8,23.75052543
437,146,17,7,22,3,13.175,5.8,23.76719618
438,147,19,1,27,3,7.185,5.8,28.01643341
439,147,19,1,27,3,10.185,3.8,27.92658593
440,147,19,1,27,3,13.175,5.8,27.94831297
441,148,25,4,26,3,7.185,5.8,27.08161956
442,148,25,4,26,3,10.185,3.8,27.05688051
443,148,25,4,26,3,13.175,5.8,27.09810268
444,149,15,31,20,3,7.185,5.8,22.15924192
445,149,15,31,20,3,10.185,3.8,22.28329478
446,149,15,31,20,3,13.175,5.8,22.32153697
447,150,17,4,24,3,7.185,5.8,25.45035143
448,150,17,4,24,3,10.185,3.8,25.43965487
449,150,17,4,24,3,13.175,5.8,25.44490641
450,151,18,19,22,3,7.185,5.8,23.81430751
451,151,18,19,22,3,10.185,3.8,23.91950625
452,151,18,19,22,3,13.175,5.8,23.93926022
453,152,27,2,25,3,7.185,5.8,26.16258861
454,152,27,2,25,3,10.185,3.8,26.13544209
455,152,27,2,25,3,13.175,5.8,26.15101795
456,153,19,11,20,3,7.185,5.8,21.95836291
457,153,19,11,20,3,10.185,3.8,22.06497974
458,153,19,11,20,3,13.175,5.8,22.08247626
459,154,15,14,28,3,7.185,5.8,29.06201916
460,154,15,14,28,3,10.185,3.8,29.08699968
461,154,15,14,28,3,13.175,5.8,29.11058786
462,155,15,26,26,3,7.185,5.8,27.3942587
463,155,15,26,26,3,10.185,3.8,27.49533041
464,155,15,26,26,3,13.175,5.8,27.52581352
465,156,15,27,22,3,7.185,5.8,23.88666621
466,156,15,27,22,3,10.185,3.8,24.00217832
467,156,15,27,22,3,13.175,5.8,24.02972551
468,157,15,16,20,3,7.185,5.8,22.04259572
469,157,15,16,20,3,10.185,3.8,22.15006716
470,157,15,16,20,3,13.175,5.8,22.174216
471,158,18,3,21,3,7.185,5.8,22.76084895
472,158,18,3,21,3,10.185,3.8,22.81440438
473,158,18,3,21,3,13.175,5.8,22.83463491
474,159,24,7,28,3,7.185,5.8,28.88038889
475,159,24,7,28,3,10.185,3.8,28.86386397
476,159,24,7,28,3,13.175,5.8,28.87985627
477,160,23,4,23,3,7.185,5.8,24.4697643
478,160,23,4,23,3,10.185,3.8,24.49429495
479,160,23,4,23,3,13.175,5.8,24.50098474
480,161,23,8,27,3,7.185,5.8,28.02711937
481,161,23,8,27,3,10.185,3.8,28.00255738
482,161,23,8,27,3,13.175,5.8,27.99332563
483,162,21,27,21,3,7.185,5.8,23.01886596
484,162,21,27,21,3,10.185,3.8,23.14762824
485,162,21,27,21,3,13.175,5.8,23.17729938
486,163,17,10,25,3,7.185,5.8,26.36705582
487,163,17,10,25,3,10.185,3.8,26.39137904
488,163,17,10,25,3,13.175,5.8,26.42052582
489,164,20,17,25,3,7.185,5.8,26.40566692
490,164,20,17,25,3,10.185,3.8,26.49650067
491,164,20,17,25,3,13.175,5.8,26.50544952
492,165,17,10,23,3,7.185,5.8,24.6003874
493,165,17,10,23,3,10.185,3.8,24.66102936
494,165,17,10,23,3,13.175,5.8,24.69021572
495,166,15,12,24,3,7.185,5.8,25.50522607
496,166,15,12,24,3,10.185,3.8,25.57804887
497,166,15,12,24,3,13.175,5.8,25.60329029
498,167,20,31,26,3,7.185,5.8,27.4489771
499,167,20,31,26,3,10.185,3.8,27.55702098
500,167,20,31,26,3,13.175,5.8,27.57603679
501,168,15,9,28,3,7.185,5.8,29.03414503
