index,sim,tem,mass,n,occ,x,y,V
281,93,12,7,23,3,13.175,5.8,0.094399954
282,94,14,20,24,3,7.185,5.8,0.071528942
283,94,14,20,24,3,10.185,3.8,0.083893467
284,94,14,20,24,3,13.175,5.8,0.089446353
285,95,12,5,23,3,7.185,5.8,0.100183474
286,95,12,5,23,3,10.185,3.8,0.091181895
287,95,12,5,23,3,13.175,5.8,0.098342718
288,96,21,29,27,3,7.185,5.8,0.072571016
289,96,21,29,27,3,10.185,3.8,0.071805299
290,96,21,29,27,3,13.175,5.8,0.074626848
291,97,20,22,26,3,7.185,5.8,0.079061123
292,97,20,22,26,3,10.185,3.8,0.080090542
293,97,20,22,26,3,13.175,5.8,0.089289482
294,98,20,8,27,3,7.185,5.8,0.099670244
295,98,20,8,27,3,10.185,3.8,0.104087604
296,98,20,8,27,3,13.175,5.8,0.097452258
297,99,17,6,23,3,7.185,5.8,0.104303952
298,99,17,6,23,3,10.185,3.8,0.107555154
299,99,17,6,23,3,13.175,5.8,0.101121424
300,100,19,17,24,3,7.185,5.8,0.108322285
301,100,19,17,24,3,10.185,3.8,0.092899777
302,100,19,17,24,3,13.175,5.8,0.091411835
303,101,22,2,23,3,7.185,5.8,0.108591952
304,101,22,2,23,3,10.185,3.8,0.111289417
305,101,22,2,23,3,13.175,5.8,0.107360527
306,102,11,4,21,3,7.185,5.8,0.102351581
307,102,11,4,21,3,10.185,3.8,0.099956281
308,102,11,4,21,3,13.175,5.8,0.089886551
309,103,11,15,24,3,7.185,5.8,0.089733472
310,103,11,15,24,3,10.185,3.8,0.088361851
311,103,11,15,24,3,13.175,5.8,0.095027414
312,104,19,29,26,3,7.185,5.8,0.072693333
313,104,19,29,26,3,10.185,3.8,0.072368638
314,104,19,29,26,3,13.175,5.8,0.076169885
315,105,13,25,26,3,7.185,5.8,0.073778701
316,105,13,25,26,3,10.185,3.8,0.076271873
317,105,13,25,26,3,13.175,5.8,0.08117439
318,106,12,7,25,3,7.185,5.8,0.095553683
319,106,12,7,25,3,10.185,3.8,0.100442674
320,106,12,7,25,3,13.175,5.8,0.09824423
321,107,22,31,25,3,7.185,5.8,0.0702544
322,107,22,31,25,3,10.185,3.8,0.068494825
323,107,22,31,25,3,13.175,5.8,0.074986798
324,108,21,27,25,3,7.185,5.8,0.07627885
325,108,21,27,25,3,10.185,3.8,0.076320582
326,108,21,27,25,3,13.175,5.8,0.078998736
327,109,20,12,20,3,7.185,5.8,0.11757578
328,109,20,12,20,3,10.185,3.8,0.100670202
329,109,20,12,20,3,13.175,5.8,0.097811114
330,110,16,12,21,3,7.185,5.8,0.114714623
331,110,16,12,21,3,10.185,3.8,0.097434356
332,110,16,12,21,3,13.175,5.8,0.098337451
333,111,16,22,23,3,7.185,5.8,0.077906499
334,111,16,22,23,3,10.185,3.8,0.08262176
335,111,16,22,23,3,13.175,5.8,0.087450832
336,112,22,7,27,3,7.185,5.8,0.121943892
337,112,22,7,27,3,10.185,3.8,0.105947543
338,112,22,7,27,3,13.175,5.8,0.106139926
339,113,19,28,20,3,7.185,5.8,0.078550068
340,113,19,28,20,3,10.185,3.8,0.07759059
341,113,19,28,20,3,13.175,5.8,0.081111754
342,114,19,31,25,3,7.185,5.8,0.07068877
343,114,19,31,25,3,10.185,3.8,0.068618731
344,114,19,31,25,3,13.175,5.8,0.075021827
345,115,16,3,22,3,7.185,5.8,0.10487526
346,115,16,3,22,3,10.185,3.8,0.110707536
347,115,16,3,22,3,13.175,5.8,0.102498585
348,116,18,17,26,3,7.185,5.8,0.105575084
349,116,18,17,26,3,10.185,3.8,0.092018703
350,116,18,17,26,3,13.175,5.8,0.087093301
351,117,22,29,20,3,7.185,5.8,0.077580304
352,117,22,29,20,3,10.185,3.8,0.075288213
353,117,22,29,20,3,13.175,5.8,0.078511275
354,118,16,1,26,3,7.185,5.8,0.097385319
355,118,16,1,26,3,10.185,3.8,0.097837931
356,118,16,1,26,3,13.175,5.8,0.105979549
357,119,16,26,26,3,7.185,5.8,0.074992532
358,119,16,26,26,3,10.185,3.8,0.075934628
359,119,16,26,26,3,13.175,5.8,0.080679981
360,120,27,8,26,3,7.185,5.8,0.121960334
361,120,27,8,26,3,10.185,3.8,0.104820329
362,120,27,8,26,3,13.175,5.8,0.12230383
363,121,18,15,25,3,7.185,5.8,0.106753668
364,121,18,15,25,3,10.185,3.8,0.095431736
365,121,18,15,25,3,13.175,5.8,0.089042963
366,122,23,3,21,3,7.185,5.8,0.130467783
367,122,23,3,21,3,10.185,3.8,0.111161308
368,122,23,3,21,3,13.175,5.8,0.10850979
369,123,17,8,24,3,7.185,5.8,0.104591622
370,123,17,8,24,3,10.185,3.8,0.106628961
371,123,17,8,24,3,13.175,5.8,0.097069319
372,124,17,15,25,3,7.185,5.8,0.106948306
373,124,17,15,25,3,10.185,3.8,0.094617199
374,124,17,15,25,3,13.175,5.8,0.090820148
375,125,16,8,20,3,7.185,5.8,0.114282842
